ID,TYPE,TARGET
21943,AVK Access Point,48
17983,AVK Access Point,48
21956,AVK Access Point,48
17984,AVK Access Point,48
17974,AVK Access Point,48
17989,AVK Access Point,48
21853,AVK Access Point,48
21953,AVK Access Point,48
22056,AVK Access Point,48
22114,AVK Access Point,48
17985,AVK Access Point,48
21884,AVK Access Point,48
17966,AVK Access Point,48
22108,AVK Access Point,48
21872,AVK Access Point,48
22132,AVK Access Point,48
21960,AVK Access Point,48
21868,AVK Access Point,48
22109,AVK Access Point,48
22067,AVK Access Point,48
22085,AVK Access Point,48
21984,AVK Access Point,48
17987,AVK Access Point,48
22011,AVK Access Point,48
22017,AVK Access Point,48
17976,AVK Access Point,48
17986,AVK Access Point,48
17982,AVK Access Point,48
17965,AVK Access Point,48
17968,AVK Access Point,48
17972,AVK Access Point,48
17979,AVK Access Point,48
17970,AVK Access Point,48
17977,AVK Access Point,48
22869,AVK Access Point,48
17988,AVK Access Point,48
17990,AVK Access Point,48
17969,AVK Access Point,48
21891,AVK Access Point,48
23033,AVK Access Point,48
23100,AVK Access Point,48
23024,AVK Access Point,48
23017,AVK Access Point,48
23023,AVK Access Point,48
23034,AVK Access Point,48
23025,AVK Access Point,48
23097,AVK Access Point,48
23095,AVK Access Point,48
23098,AVK Access Point,48
23093,AVK Access Point,48
23094,AVK Access Point,48
23044,AVK Access Point,48
23035,AVK Access Point,48
23099,AVK Access Point,48
23096,AVK Access Point,48
23011,AVK Access Point,48
23012,AVK Access Point,48
23036,AVK Access Point,48
21824,AVK Access Point,48
21865,AVK Access Point,48
17777,AVK Printer,71
18531,AVK Printer,71
21852,AVK Access Point,48
21886,AVK Access Point,48
22015,AVK Access Point,48
21866,AVK Access Point,48
22117,AVK Access Point,48
22102,AVK Access Point,48
21908,AVK Access Point,48
21980,AVK Access Point,48
22112,AVK Access Point,48
21981,AVK Access Point,48
22057,AVK Access Point,48
22080,AVK Access Point,48
21963,AVK Access Point,48
21946,AVK Access Point,48
21873,AVK Access Point,48
22018,AVK Access Point,48
22144,AVK Access Point,48
22138,AVK Access Point,48
21972,AVK Access Point,48
21950,AVK Access Point,48
22086,AVK Access Point,48
21833,AVK Access Point,48
