Summary,Freq,Budget,Annual Time,Engineer,Description,Category
Review Active Directory,Monthly,0.25,3,TSenn,"Review the Active Directory enviornment for issues via  repadmin, dcdiag. Review admin group memberships for unauthrized members",System
Windows Patch Installation - Post Verification,Monthly,1,12,TSenn,Review the operation of the client's server post update,System
Review Office 365 Portal,Monthly,0.25,3,TSenn,Review the client's Office 365 portal for licensing or other issues,Cloud
Review Windows Server Logs,Monthly,0.5,6,TSenn,Review the client's windows server application and security logs for standout issues,System
Backup Hypervisor Configuration,SemiAnnual,0.25,0.5,TSenn,"Take a backup of the hypervisor configuration and store the data in ITG, attach to the appropriate client device",System
Update Server iLO Firmware,SemiAnnual,0.25,0.5,TSenn,Update the iLO firmware on the cleint's servers,System
Update ESXi,SemiAnnual,1,2,TSenn,Install the latest ESXi patch for the currently installed version,System
Update Firewall Firmware,SemiAnnual,0.5,1,TSenn,Install the reccommended firewall firmware,Network
Update Server Firmware,SemiAnnual,1,2,TSenn,Update the firmware on the client's servers - For  HP servers check for a model specific BIOS update that may have been released after the latest ISO/,System
Update Switch Firmware,Annual,1,1,TSenn,Update the firmware on the client's switches,Network
Review Backups (Azure),Weekly,0.25,13,TSenn,Review the client's Azure backups for issues.,System
Review Network,Monthly,1,12,TSenn,"Utilizing Auvik, review the client's network for issues. Ensure all infrastructure devices are SNMP \ login integrated. Ensure that all devices classified appropraitely.",Network
Patch Group Review,Quarterly,0.5,2,TSenn,Review the patch approval policies. Ensure all servers and workstations that are supposed to be automatically patched are (by being in the correct patch groups),System
Update Wireless Device Firmware,Quarterly,1,4,TSenn,Update the firmware on the client's access points,Network
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
