Summary,Freq,Budget,Annual Time,Engineer,Description,Category
Update Firewall Firmware,Quarterly,0.5,2,Bkew,Install the reccommended firewall firmware,Network
Update Switch Firmware,Annual,1,1,Bkew,Update the firmware on the client's switches,Network
Update UPS Firmware,Annual,1,1,Bkew,Update the firmware on the web controller of the client's UPS(s),System
Review Workstation Disk Space,Monthly,1,12,Bkew,Review the client's workstations for disk space issues,Desktop
Update Webroot Agents,Monthly,1,12,Bkew,Review the state of Webroot Agents on the client's systems and update any that have not automatically been updates,Security
Review & Remediate Workstation Patches,Monthly,1,12,Bkew,Identify any issues with workstations that may be preventing patches from being installed,Desktop
Review Network,Monthly,1,12,Bkew,"Utilizing Auvik, review the client's network for issues. Ensure all infrastructure devices are SNMP \ login integrated. Ensure that all devices classified appropraitely.",Network
Patch Group Review,Quarterly,0.5,2,Bkew,Review the patch approval policies. Ensure all servers and workstations that are supposed to be automatically patched are (by being in the correct patch groups),System
Update Wireless Device Firmware,Quarterly,1,4,Bkew,Update the firmware on the client's access points,Network
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
