Task,Freq,Budget,Annual Time,Engineer
Review Backups - Veeam,Weekly,0.25,13,tsenn
"Review Active Directory (Admin Groups, repadmin, dcdiag)",Monthly,0.25,3,tsenn
Windows Patch Installation - Post Verification,Monthly,1,12,tsenn
Review Logs of Windows Servers (Application/Security),Monthly,0.5,6,tsenn
Update vCenter,Quarterly,1,4,tsenn
Backup Hypervisor Configuration,Quarterly,0.25,1,tsenn
Test File Level Restore from Backup (Veeam),Quarterly,0.5,2,tsenn
Update Server iLO Firmware,Quarterly,0.25,1,tsenn
Update NAS Firmware,Quarterly,0.25,1,tsenn
Update ESXi,Quarterly,1,4,tsenn
Update Firewall Firmware,Quarterly,0.5,2,tsenn
"Update SQL Server - Service Packs, Update Rollups",Quarterly,1,4,tsenn
Review Backup Configuration,Semi-Annual,0.5,1,tsenn
Update Server Firmware,Semi-Annual,1,2,tsenn
Update Load Balancer Firmware,Annual,1,1,tsenn
Review Group Policies,Annual,1,1,tsenn
Update Veeam,Quarterly,1,4,tsenn
Backup Network Configs,Quarterly,1,4,tsenn
Nipper Studio Config Audit,Annual,1.5,1.5,tsenn
