Summary,Freq,Budget,Annual Time,Engineer,Description,Category
Review Backups (Veeam),Weekly,0.25,13,TSenn,Review the client's Veeam backups for issues,System
Review Active Directory,Monthly,0.25,3,TSenn,"Review the Active Directory enviornment for issues via  repadmin, dcdiag. Review admin group memberships for unauthrized members",System
Windows Patch Installation - Post Verification,Monthly,1,12,TSenn,Review the operation of the client's server post update,System
Review Office 365 Portal,Monthly,0.25,3,TSenn,Review the client's Office 365 portal for licensing or other issues,Cloud
Review Windows Server Logs,Monthly,0.5,6,TSenn,Review the client's windows server application and security logs for standout issues,System
Update vCenter,Quarterly,1,4,TSenn,Update vCenter to the latest patch for the currently installed version,System
Update Wireless Device Firmware,Quarterly,0.5,2,TSenn,Update the firmware on the client's access points,Network
Backup Hypervisor Configuration,Quarterly,0.25,1,TSenn,"Take a backup of the hypervisor configuration and store the data in ITG, attach to the appropriate client device",System
Test File Level Restore from Backup (Veeam),Quarterly,0.5,2,TSenn,Perform a file level restore utilizing the client's Veeam backups,System
Test File Level Restore from Backup (Azure),Quarterly,0.5,2,TSenn,Perform a file level restore utilizing the client's Azure backups,System
Update Server iLO Firmware,Quarterly,0.5,2,TSenn,Update the iLO firmware on the cleint's servers,System
Update NAS Firmware,Quarterly,0.25,1,TSenn,Update the firmware on the client's NAS device(s),Storage
Update ESXi,Quarterly,2,8,TSenn,Install the latest ESXi patch for the currently installed version,System
Update Firewall Firmware,Quarterly,1,4,TSenn,Install the reccommended firewall firmware,Network
Update vCenter,Quarterly,1,4,TSenn,Update vCenter to the latest patch for the currently installed version,System
Review Backup Configuration,SemiAnnual,0.5,1,TSenn,Work with the account's vCIO or primary engineer to review the configuration of the client's backup jobs. Ensure that the configuraiton is still optimal for the client's environment,System
Update Switch Firmware,Annual,8,8,TSenn,Update the firmware on the client's switches,Network
Update UPS Firmware,Annual,4,4,TSenn,Update the firmware on the web controller of the client's UPS(s),System
Review Group Policies,Annual,1,1,TSenn,Work with the account's vCIO or primary engineer to review the configuration of the client's Group policies. Ensure that the configuraiton is still optimal for the client's environment.,System
Update Veeam,Quarterly,1,4,TSenn,Install the latest version of Veeam Backup and Replication,System
Update FMC and Firepower Modules,SemiAnnual,4,8,Chornbeck,Updatre the ASA's FMC and Firepower modules to a version that is compatible with the installed ASA software,Network
Nipper Studio Config Audit,Annual,1,1,TSenn,Perform an audit of the client's switch configuration for issues,Security
Review Network,Monthly,1,12,TSenn,"Utilizing Auvik, review the client's network for issues. Ensure all infrastructure devices are SNMP \ login integrated. Ensure that all devices classified appropraitely.",Network
Patch Group Review,Quarterly,0.5,2,TSenn,Review the patch approval policies. Ensure all servers and workstations that are supposed to be automatically patched are (by being in the correct patch groups),System
Update Wireless Device Firmware,Quarterly,1,4,TSenn,Update the firmware on the client's access points,Network
,,,,,,
,,,,,,
,,,,,,
